REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2022/01/01 00:05:00,5982.85,118.73,TRADE
QLD1,2022/01/01 00:10:00,6019.81,119.10,TRADE
QLD1,2022/01/01 00:15:00,5982.62,118.73,TRADE
QLD1,2022/01/01 00:20:00,5915.77,109.20,TRADE
QLD1,2022/01/01 00:25:00,5885.39,117.62,TRADE
QLD1,2022/01/01 00:30:00,5898.48,118.73,TRADE
QLD1,2022/01/01 00:35:00,5825.94,118.73,TRADE
QLD1,2022/01/01 00:40:00,5908.8,119.10,TRADE
QLD1,2022/01/01 00:45:00,5842.18,118.73,TRADE
QLD1,2022/01/01 00:50:00,5844.05,115.31,TRADE
QLD1,2022/01/01 00:55:00,5840.56,94.74,TRADE
QLD1,2022/01/01 01:00:00,5810.02,91.10,TRADE
QLD1,2022/01/01 01:05:00,5838.5,106.43,TRADE
QLD1,2022/01/01 01:10:00,5758.63,105.48,TRADE
QLD1,2022/01/01 01:15:00,5806.55,91.20,TRADE
QLD1,2022/01/01 01:20:00,5821.28,107.64,TRADE
QLD1,2022/01/01 01:25:00,5791.87,91.20,TRADE
QLD1,2022/01/01 01:30:00,5787.01,91.20,TRADE
QLD1,2022/01/01 01:35:00,5671.57,91.20,TRADE
QLD1,2022/01/01 01:40:00,5729.3,99.99,TRADE
QLD1,2022/01/01 01:45:00,5738.53,91.67,TRADE
QLD1,2022/01/01 01:50:00,5677.98,99.30,TRADE
QLD1,2022/01/01 01:55:00,5619.82,84.62,TRADE
QLD1,2022/01/01 02:00:00,5638.27,85.20,TRADE
QLD1,2022/01/01 02:05:00,5642.84,92.01,TRADE
QLD1,2022/01/01 02:10:00,5622.68,96.29,TRADE
QLD1,2022/01/01 02:15:00,5602.09,91.20,TRADE
QLD1,2022/01/01 02:20:00,5571.43,73.56,TRADE
QLD1,2022/01/01 02:25:00,5601.79,92.39,TRADE
QLD1,2022/01/01 02:30:00,5564.27,87.41,TRADE
QLD1,2022/01/01 02:35:00,5591.37,109.10,TRADE
QLD1,2022/01/01 02:40:00,5591.42,109.20,TRADE
QLD1,2022/01/01 02:45:00,5556.56,109.34,TRADE
QLD1,2022/01/01 02:50:00,5605.57,110.86,TRADE
QLD1,2022/01/01 02:55:00,5538.59,109.10,TRADE
QLD1,2022/01/01 03:00:00,5566.21,108.33,TRADE
QLD1,2022/01/01 03:05:00,5564.25,109.10,TRADE
QLD1,2022/01/01 03:10:00,5581.34,109.33,TRADE
QLD1,2022/01/01 03:15:00,5563.33,109.20,TRADE
QLD1,2022/01/01 03:20:00,5553.68,109.20,TRADE
QLD1,2022/01/01 03:25:00,5520.51,91.20,TRADE
QLD1,2022/01/01 03:30:00,5539.95,91.20,TRADE
QLD1,2022/01/01 03:35:00,5497.81,80.62,TRADE
QLD1,2022/01/01 03:40:00,5559.98,81.21,TRADE
QLD1,2022/01/01 03:45:00,5546.41,84.12,TRADE
QLD1,2022/01/01 03:50:00,5507.35,78.16,TRADE
QLD1,2022/01/01 03:55:00,5522.31,80.64,TRADE
QLD1,2022/01/01 04:00:00,5475.72,77.92,TRADE
QLD1,2022/01/01 04:05:00,5561.45,91.10,TRADE
QLD1,2022/01/01 04:10:00,5479.44,78.45,TRADE
QLD1,2022/01/01 04:15:00,5464.61,75.41,TRADE
QLD1,2022/01/01 04:20:00,5583.85,80.02,TRADE
QLD1,2022/01/01 04:25:00,5491.41,71.93,TRADE
QLD1,2022/01/01 04:30:00,5525.66,73.67,TRADE
QLD1,2022/01/01 04:35:00,5541.62,74.21,TRADE
QLD1,2022/01/01 04:40:00,5507.16,74.64,TRADE
QLD1,2022/01/01 04:45:00,5493.86,71.94,TRADE
QLD1,2022/01/01 04:50:00,5484.86,68.21,TRADE
QLD1,2022/01/01 04:55:00,5473.24,68.21,TRADE
QLD1,2022/01/01 05:00:00,5531.74,68.21,TRADE
QLD1,2022/01/01 05:05:00,5502.47,71.52,TRADE
QLD1,2022/01/01 05:10:00,5524.98,78.68,TRADE
QLD1,2022/01/01 05:15:00,5524.66,68.21,TRADE
QLD1,2022/01/01 05:20:00,5462.98,73.73,TRADE
QLD1,2022/01/01 05:25:00,5485.32,68.26,TRADE
QLD1,2022/01/01 05:30:00,5491.94,67.97,TRADE
QLD1,2022/01/01 05:35:00,5456.63,67.73,TRADE
QLD1,2022/01/01 05:40:00,5459.29,67.73,TRADE
QLD1,2022/01/01 05:45:00,5474.21,67.73,TRADE
QLD1,2022/01/01 05:50:00,5441.9,57.21,TRADE
QLD1,2022/01/01 05:55:00,5423.46,31.34,TRADE
QLD1,2022/01/01 06:00:00,5416.41,18.51,TRADE
QLD1,2022/01/01 06:05:00,5460.8,23.62,TRADE
QLD1,2022/01/01 06:10:00,5533.69,67.73,TRADE
QLD1,2022/01/01 06:15:00,5467.58,42.09,TRADE
QLD1,2022/01/01 06:20:00,5380.78,27.11,TRADE
QLD1,2022/01/01 06:25:00,5455.18,23.01,TRADE
QLD1,2022/01/01 06:30:00,5402.66,0.73,TRADE
QLD1,2022/01/01 06:35:00,5406.11,11.84,TRADE
QLD1,2022/01/01 06:40:00,5353.7,0.73,TRADE
QLD1,2022/01/01 06:45:00,5416.53,23.62,TRADE
QLD1,2022/01/01 06:50:00,5410.93,18.30,TRADE
QLD1,2022/01/01 06:55:00,5417.19,18.51,TRADE
QLD1,2022/01/01 07:00:00,5407.76,0,TRADE
QLD1,2022/01/01 07:05:00,5424.9,0,TRADE
QLD1,2022/01/01 07:10:00,5417.93,18.30,TRADE
QLD1,2022/01/01 07:15:00,5422.8,13,TRADE
QLD1,2022/01/01 07:20:00,5423.47,18.30,TRADE
QLD1,2022/01/01 07:25:00,5460.2,23.62,TRADE
QLD1,2022/01/01 07:30:00,5354.58,23.84,TRADE
QLD1,2022/01/01 07:35:00,5438.49,26.23,TRADE
QLD1,2022/01/01 07:40:00,5448.13,23.84,TRADE
QLD1,2022/01/01 07:45:00,5401.63,19.39,TRADE
QLD1,2022/01/01 07:50:00,5442.24,18.51,TRADE
QLD1,2022/01/01 07:55:00,5509.45,23.62,TRADE
QLD1,2022/01/01 08:00:00,5532.12,23.84,TRADE
QLD1,2022/01/01 08:05:00,5581.12,28.75,TRADE
QLD1,2022/01/01 08:10:00,5595.64,67.73,TRADE
QLD1,2022/01/01 08:15:00,5633.72,67.73,TRADE
QLD1,2022/01/01 08:20:00,5608.78,60.10,TRADE
QLD1,2022/01/01 08:25:00,5588.01,60.10,TRADE
QLD1,2022/01/01 08:30:00,5597.11,67.73,TRADE
QLD1,2022/01/01 08:35:00,5635.29,67.41,TRADE
QLD1,2022/01/01 08:40:00,5656.19,67.73,TRADE
QLD1,2022/01/01 08:45:00,5674.39,67.73,TRADE
QLD1,2022/01/01 08:50:00,5638.81,60.10,TRADE
QLD1,2022/01/01 08:55:00,5645.97,67.41,TRADE
QLD1,2022/01/01 09:00:00,5674.51,67.45,TRADE
QLD1,2022/01/01 09:05:00,5759.58,68.21,TRADE
QLD1,2022/01/01 09:10:00,5763.23,58.12,TRADE
QLD1,2022/01/01 09:15:00,5711.21,53.10,TRADE
QLD1,2022/01/01 09:20:00,5716.14,67.73,TRADE
QLD1,2022/01/01 09:25:00,5725.73,57.97,TRADE
QLD1,2022/01/01 09:30:00,5697.96,59.21,TRADE
QLD1,2022/01/01 09:35:00,5697.34,25.88,TRADE
QLD1,2022/01/01 09:40:00,5654.3,29.51,TRADE
QLD1,2022/01/01 09:45:00,5684.52,45.23,TRADE
QLD1,2022/01/01 09:50:00,5665.61,67.73,TRADE
